"filename", "language", "Java", "Markdown", "C++", "C", "HTML", "CSS", "Java Properties", "comment", "blank", "total"
"d:\Coding\Learn\Java\basic_syntax\FlowControl\IfDemo.java", "Java", 14, 0, 0, 0, 0, 0, 0, 8, 5, 27
"d:\Coding\Learn\Java\basic_syntax\FlowControl\Loop.java", "Java", 20, 0, 0, 0, 0, 0, 0, 9, 4, 33
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RandomNum2.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RanomNum.java", "Java", 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Coding\Learn\Java\basic_syntax\FlowControl\SwitchCase.java", "Java", 13, 0, 0, 0, 0, 0, 0, 10, 5, 28
"d:\Coding\Learn\Java\basic_syntax\Function\FunctionDemo.java", "Java", 81, 0, 0, 0, 0, 0, 0, 1, 10, 92
"d:\Coding\Learn\Java\basic_syntax\Hello.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\CopyArray.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\DoubleColorBall.java", "Java", 82, 0, 0, 0, 0, 0, 0, 13, 8, 103
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\IsPrime.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\JudgesScoring.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\NumberEncryption.java", "Java", 13, 0, 0, 0, 0, 0, 0, 56, 4, 73
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\PhursePlaneTickets.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\VerificationCcode.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\Coding\Learn\Java\basic_syntax\Test.java", "Java", 45, 0, 0, 0, 0, 0, 0, 0, 12, 57
"d:\Coding\Learn\Java\basic_syntax\data types and operators\AutoTypeConversionDemo1.java", "Java", 26, 0, 0, 0, 0, 0, 0, 3, 5, 34
"d:\Coding\Learn\Java\basic_syntax\data types and operators\Operator.java", "Java", 27, 0, 0, 0, 0, 0, 0, 16, 8, 51
"d:\Coding\Learn\Java\basic_syntax\data types and operators\ScannerDemo.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Coding\Learn\Java\basic_syntax\data types and operators\TypeConversionDemo1.java", "Java", 16, 0, 0, 0, 0, 0, 0, 4, 6, 26
"d:\Coding\Learn\Java\basic_syntax\data types and operators\TypeDemo.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\Coding\Learn\Java\basic_syntax\flow control\IfDemo.java", "Java", 14, 0, 0, 0, 0, 0, 0, 8, 5, 27
"d:\Coding\Learn\Java\basic_syntax\flow control\Loop.java", "Java", 20, 0, 0, 0, 0, 0, 0, 9, 4, 33
"d:\Coding\Learn\Java\basic_syntax\flow control\RandomNum2.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Coding\Learn\Java\basic_syntax\flow control\RanomNum.java", "Java", 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Coding\Learn\Java\basic_syntax\flow control\SwitchCase.java", "Java", 13, 0, 0, 0, 0, 0, 0, 10, 5, 28
"d:\Coding\Learn\Java\case.md", "Markdown", 0, 246, 0, 0, 0, 0, 0, 0, 53, 299
"d:\Coding\Learn\Java\examples\ATMsystem.java", "Java", 137, 0, 0, 0, 0, 0, 0, 0, 28, 165
"d:\Coding\Learn\Java\examples\BeerSong.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Coding\Learn\Java\examples\BubbleSort.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Coding\Learn\Java\examples\CountLinesOfCode.java", "Java", 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\Coding\Learn\Java\examples\CountingOccurrences.java", "Java", 19, 0, 0, 0, 0, 0, 0, 31, 3, 53
"d:\Coding\Learn\Java\examples\DownloadPicFromURL.java", "Java", 38, 0, 0, 0, 0, 0, 0, 3, 6, 47
"d:\Coding\Learn\Java\examples\DownloadPicFromURL_.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Coding\Learn\Java\examples\FilmSystem.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\Coding\Learn\Java\examples\FoodDeliverySystem.java", "Java", 71, 0, 0, 0, 0, 0, 0, 0, 19, 90
"d:\Coding\Learn\Java\examples\Gomoku.java", "Java", 109, 0, 0, 0, 0, 0, 0, 12, 12, 133
"d:\Coding\Learn\Java\examples\LogisticsSystem.java", "Java", 83, 0, 0, 0, 0, 0, 0, 0, 13, 96
"d:\Coding\Learn\Java\examples\SearchingAlgorithm.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Coding\Learn\Java\examples\SimulatedPlayingCard.java", "Java", 47, 0, 0, 0, 0, 0, 0, 16, 4, 67
"d:\Coding\Learn\Java\examples\SimulatedWeibo.java", "Java", 75, 0, 0, 0, 0, 0, 0, 0, 5, 80
"d:\Coding\Learn\Java\examples\TArraylist.java", "Java", 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Coding\Learn\Java\examples\USB.java", "Java", 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Coding\Learn\Java\examples\UserLogin.java", "Java", 42, 0, 0, 0, 0, 0, 0, 0, 11, 53
"d:\Coding\Learn\Java\examples\WrapperTest.java", "Java", 17, 0, 0, 0, 0, 0, 0, 8, 2, 27
"d:\Coding\Learn\Java\java_advanced\AWT\FrameTest.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\Learn\Java\java_advanced\AWT\ScrollPaneTest.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Coding\Learn\Java\java_advanced\Enum.java", "Java", 23, 0, 0, 0, 0, 0, 0, 3, 5, 31
"d:\Coding\Learn\Java\java_advanced\ExceptionTest.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Coding\Learn\Java\java_advanced\ForEach.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Coding\Learn\Java\java_advanced\LambdaExpression.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadCommunication.java", "Java", 89, 0, 0, 0, 0, 0, 0, 0, 5, 94
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadDemo.java", "Java", 32, 0, 0, 0, 0, 0, 0, 25, 6, 63
"d:\Coding\Learn\Java\java_advanced\Mltithreading\ThreadSecurity.java", "Java", 63, 0, 0, 0, 0, 0, 0, 13, 16, 92
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\IPAddress.java", "Java", 14, 0, 0, 0, 0, 0, 0, 5, 3, 22
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\TCP\Client.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\TCP\Server.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Client.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Client2.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Server.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Coding\Learn\Java\java_advanced\NetworkProgram\UDP\Server2.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Coding\Learn\Java\java_advanced\class\API.java", "Java", 24, 0, 0, 0, 0, 0, 0, 4, 7, 35
"d:\Coding\Learn\Java\java_advanced\class\APILearn.java", "Java", 30, 0, 0, 0, 0, 0, 0, 7, 24, 61
"d:\Coding\Learn\Java\java_advanced\class\CharacterDemo.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\Learn\Java\java_advanced\class\ClassDemo.java", "Java", 33, 0, 0, 0, 0, 0, 0, 3, 7, 43
"d:\Coding\Learn\Java\java_advanced\class\Extend.java", "Java", 27, 0, 0, 0, 0, 0, 0, 10, 0, 37
"d:\Coding\Learn\Java\java_advanced\class\LoginSystem.java", "Java", 46, 0, 0, 0, 0, 0, 0, 1, 13, 60
"d:\Coding\Learn\Java\java_advanced\class\ObjectOriented.java", "Java", 25, 0, 0, 0, 0, 0, 0, 9, 1, 35
"d:\Coding\Learn\Java\java_advanced\class\Static.java", "Java", 13, 0, 0, 0, 0, 0, 0, 6, 2, 21
"d:\Coding\Learn\Java\java_advanced\collection\ArraryTest2.java", "Java", 31, 0, 0, 0, 0, 0, 0, 1, 3, 35
"d:\Coding\Learn\Java\java_advanced\collection\ArraysTest.java", "Java", 9, 0, 0, 0, 0, 0, 0, 13, 3, 25
"d:\Coding\Learn\Java\java_advanced\collection\CollectionTest.java", "Java", 20, 0, 0, 0, 0, 0, 0, 21, 2, 43
"d:\Coding\Learn\Java\java_advanced\collection\Polymorphism.java", "Java", 4, 0, 0, 0, 0, 0, 0, 44, 2, 50
"d:\Coding\Learn\Java\java_advanced\collection\SelectionSort.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Coding\Learn\Java\java_advanced\collection\SetNesting.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Coding\Learn\Java\java_advanced\generic\Generic.java", "Java", 16, 0, 0, 0, 0, 0, 0, 1, 0, 17
"d:\Coding\Learn\Java\java_advanced\generic\GenericFunction.java", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Coding\Learn\Java\java_advanced\generic\GenericInterface.java", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"d:\Coding\Learn\Java\java_advanced\io\FileDemo.java", "Java", 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\Coding\Learn\Java\java_advanced\io\FileOperator.java", "Java", 82, 0, 0, 0, 0, 0, 0, 0, 6, 88
"d:\Coding\Learn\Java\java_advanced\io\ProperityFile.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Coding\Learn\Java\java_advanced\io\StreamDemo.java", "Java", 40, 0, 0, 0, 0, 0, 0, 10, 3, 53
"d:\Coding\Learn\Java\java_advanced\io\property.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 3, 2, 1, 6
"d:\Coding\Learn\Java\thinking_in_java\polymorphism\Cycles.java", "Java", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Coding\Learn\Java\thinking_in_java\polymorphism\Note.java", "Java", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Coding\Learn\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\Web\OnlineBookShop\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"Total", "-", 2670, 247, 838, 1040, 53, 18, 3, 705, 694, 6268
